experiment,algorithm,alpha,mean_relative_error,max_relative_error,space,update_time_s
baseline_comparison,IntegratedSS±,1.5,3.849416184066364e-05,0.005252,150,1.75347341602901
baseline_comparison,LearnedISS±,1.5,1.734355924244796e-05,0.001844,150,1.2290684579638764
baseline_comparison,MisraGries,1.5,2.4636468930975115e-05,0.005232,71,0.11659762496128678
baseline_comparison,CountMin,1.5,0.0016102319611832837,0.004564,1360,0.6279059170046821
baseline_comparison,IntegratedSS±,2.0,4.509776437063796e-05,0.003791992416015168,200,1.5424296249984764
baseline_comparison,LearnedISS±,2.0,2.035553172106111e-05,0.001175997648004704,200,1.0484664579853415
baseline_comparison,MisraGries,2.0,2.880472689785587e-05,0.003815992368015264,70,0.1305182910291478
baseline_comparison,CountMin,2.0,0.0016010909311008415,0.004487991024017952,1360,0.6386235000099987
baseline_comparison,IntegratedSS±,4.0,6.455213850179832e-05,0.0017219896680619917,400,0.7429808749584481
baseline_comparison,LearnedISS±,4.0,3.0566439986013516e-05,0.0011759929440423357,400,0.97552908398211
baseline_comparison,MisraGries,4.0,4.269571859845784e-05,0.0017219896680619917,186,0.062093499989714473
baseline_comparison,CountMin,4.0,0.0015932195261957344,0.004409973540158759,1360,0.6363727090065368
baseline_comparison,IntegratedSS±,8.0,8.951287418255393e-05,0.000749985000299994,800,0.5961459160316736
baseline_comparison,LearnedISS±,8.0,5.2433978979328665e-05,0.0006599868002639947,800,3.044057040999178
baseline_comparison,MisraGries,8.0,6.270096913060173e-05,0.000749985000299994,517,0.060892999987117946
baseline_comparison,CountMin,8.0,0.0015542889225714077,0.004109917801643967,1360,0.6220084170345217
baseline_comparison,IntegratedSS±,1.5,3.265411961522376e-05,0.001044,150,0.19697099999757484
baseline_comparison,LearnedISS±,1.5,1.423672103722292e-05,0.000504,150,0.26676041597966105
baseline_comparison,MisraGries,1.5,3.271350899205354e-05,0.001036,102,0.052009458013344556
baseline_comparison,CountMin,1.5,0.0001520878293601004,0.001404,1360,0.650900166016072
baseline_comparison,IntegratedSS±,2.0,3.5881370159823106e-05,0.000665998668002664,200,0.169754583039321
baseline_comparison,LearnedISS±,2.0,1.6107844953869507e-05,0.000485999028001944,200,0.26056149997748435
baseline_comparison,MisraGries,2.0,3.574518885675179e-05,0.000665998668002664,116,0.05149437498766929
baseline_comparison,CountMin,2.0,0.0001510811397602839,0.000971998056003888,1360,0.5984772079973482
baseline_comparison,IntegratedSS±,4.0,3.989914277637017e-05,0.00022399865600806394,400,0.1292409169836901
baseline_comparison,LearnedISS±,4.0,1.9486202588521448e-05,0.00016799899200604796,400,0.4832450419780798
baseline_comparison,MisraGries,4.0,3.963965624855854e-05,0.00022399865600806394,309,0.052766375010833144
baseline_comparison,CountMin,4.0,0.0001513424282208058,0.0009379943720337678,1360,0.6046585830044933
baseline_comparison,IntegratedSS±,8.0,2.90877574674655e-05,5.999880002399952e-05,800,0.0967326249810867
baseline_comparison,LearnedISS±,8.0,1.698199251562672e-05,0.00011999760004799904,749,0.6956432909937575
baseline_comparison,MisraGries,8.0,3.396398503125344e-05,5.999880002399952e-05,605,0.05332700000144541
baseline_comparison,CountMin,8.0,0.0001399265300913063,0.001139977200455991,1360,0.6219219999620691
baseline_comparison,IntegratedSS±,1.5,1.4674418604651163e-05,0.000104,150,0.06701500003691763
baseline_comparison,LearnedISS±,1.5,7.145348837209303e-06,8.8e-05,145,0.17704716697335243
baseline_comparison,MisraGries,1.5,2.1947674418604654e-05,0.0001,144,0.047830792027525604
baseline_comparison,CountMin,1.5,6.319767441860465e-06,5.6e-05,1360,0.5954810419934802
baseline_comparison,IntegratedSS±,2.0,1.3398234073097071e-05,5.3999892000216e-05,200,0.06574041699059308
baseline_comparison,LearnedISS±,2.0,6.427813231330059e-06,5.3999892000216e-05,189,0.18266662495443597
baseline_comparison,MisraGries,2.0,1.887648398616246e-05,5.3999892000216e-05,154,0.04901374998735264
baseline_comparison,CountMin,2.0,5.613901815674629e-06,4.1999916000168e-05,1360,0.5972358339931816
baseline_comparison,IntegratedSS±,4.0,0.0,0.0,369,0.0647505410015583
baseline_comparison,LearnedISS±,4.0,7.208628834947856e-07,1.3999916000503996e-05,350,0.19399029202759266
baseline_comparison,MisraGries,4.0,0.0,0.0,369,0.05075637501431629
baseline_comparison,CountMin,4.0,3.262853051607978e-06,6.999958000251999e-05,1360,0.6209987920010462
baseline_comparison,IntegratedSS±,8.0,0.0,0.0,245,0.06552391598233953
baseline_comparison,LearnedISS±,8.0,0.0,0.0,674,0.16931254201335832
baseline_comparison,MisraGries,8.0,0.0,0.0,245,0.051235334016382694
baseline_comparison,CountMin,8.0,1.7142514292571293e-06,5.999880002399952e-05,1360,0.6010093339718878
fixed_ratio_sweep,LearnedISS±,2.0,1.900930777577697e-05,0.000371999256001488,200,0.2676057089702226
fixed_ratio_sweep,LearnedISS±,2.0,1.6173532405939196e-05,0.000431999136001728,200,0.2614372079842724
fixed_ratio_sweep,LearnedISS±,2.0,1.6107844953869507e-05,0.000485999028001944,200,0.26504016696708277
fixed_ratio_sweep,LearnedISS±,2.0,1.572813943824716e-05,0.000335999328001344,200,0.33550483296858147
fixed_ratio_sweep,LearnedISS±,2.0,1.8092887712755954e-05,0.000491999016001968,200,0.35950387502089143
fixed_ratio_sweep,IntegratedSS± (baseline),2.0,3.5881370159823106e-05,0.000665998668002664,200,0.0
window_size_sweep,LearnedISS±,2.0,1.5987684980571295e-05,0.000485999028001944,190,0.4511705000186339
window_size_sweep,LearnedISS±,2.0,1.6088619358141792e-05,0.00056999886000228,200,0.35317887499695644
window_size_sweep,LearnedISS±,2.0,1.6107844953869507e-05,0.000485999028001944,200,0.26513966696802527
window_size_sweep,LearnedISS±,2.0,1.6008512709276317e-05,0.000551998896002208,200,0.2506188330007717
window_size_sweep,LearnedISS±,2.0,1.927686398298765e-05,0.000335999328001344,200,0.2501749580260366
uniform_comparison,IntegratedSS±,2.0,4.123210258740532e-05,0.004997990004019992,200,3.11373983300291
uniform_comparison,LearnedISS±,2.0,2.7081403367351206e-05,0.001943996112007776,200,2.915025959024206
