dataset,algorithm,alpha,N,F1,distinct,space,max_space,update_time_s,time_per_update_us,mean_absolute_error,max_absolute_error,median_absolute_error,mean_relative_error,max_relative_error,median_relative_error,nrmse,weighted_mean_rel_error,hh_precision,hh_recall,hh_f1,num_true_hh,num_est_hh
Zipf_s1.0,MisraGries,1.5,499998,250000,31945,71,150,0.12276825000299141,0.24553748215591142,6.159117232743778,1308.0,2.0,2.4636468930975115e-05,0.005232,8e-06,0.00016796450519056987,0.002010654912,1.0,0.625,0.7692307692307693,8,5
Zipf_s1.0,LazySS±,1.5,499998,250000,31945,150,150,1.0130602500285022,2.0261286045714226,10.66708405071216,1534.0,2.0,4.266833620284864e-05,0.006136,8e-06,0.00037284999621086285,0.000801053488,0.8888888888888888,1.0,0.9411764705882353,8,9
Zipf_s1.0,SS±,1.5,499998,250000,31945,150,150,1.087181541020982,2.174371779529082,9.623540460165911,1313.0,2.0,3.849416184066364e-05,0.005252,8e-06,0.00031791710597777243,0.000479772304,1.0,1.0,1.0,8,8
Zipf_s1.0,DoubleSS±,1.5,499998,250000,31945,150,150,0.8104370840010233,1.6208806515246525,13.317639693222727,4259.0,2.0,5.32705587728909e-05,0.017036,8e-06,0.0007277532683944392,0.001231809632,0.10666666666666667,1.0,0.1927710843373494,8,75
Zipf_s1.0,IntegratedSS±,1.5,499998,250000,31945,150,150,1.7954161659581587,3.5908466953030986,9.623540460165911,1313.0,2.0,3.849416184066364e-05,0.005252,8e-06,0.00031791710597777243,0.000479772304,1.0,1.0,1.0,8,8
Zipf_s1.0,CountMin,1.5,499998,250000,31945,1360,1360,0.6496110000298359,1.2992271969684595,402.55799029582096,1141.0,413.0,0.0016102319611832837,0.004564,0.001652,0.001648499850343222,0.001612641728,0.8,1.0,0.888888888888889,8,10
Zipf_s1.0,α-CountMin,1.5,499998,250000,31945,1632,1632,0.5361035839887336,1.0722114568232946,243.91645014869306,951.0,229.0,0.0009756658005947722,0.003804,0.000916,0.0010111353526571106,0.0010105504,0.8888888888888888,1.0,0.9411764705882353,8,9
Zipf_s1.0,CountSketch,1.5,499998,250000,31945,150000,150000,1.1019654580159113,2.20393973179075,0.5749569572703084,83.0,0.0,2.2998278290812335e-06,0.000332,0.0,5.797522692428927e-06,2.653408e-06,1.0,1.0,1.0,8,8
Zipf_s1.0,α-CountSketch,1.5,499998,250000,31945,120000,120000,0.8767522500129417,1.7535115140719397,1.1104711222413524,66.0,1.0,4.44188448896541e-06,0.000264,4e-06,9.41857045418954e-06,6.371184e-06,1.0,1.0,1.0,8,8
Zipf_s1.0,LearnedISS±,1.5,499998,250000,31945,150,150,1.2402634160243906,2.480536754195798,4.335889810611989,461.0,2.0,1.734355924244796e-05,0.001844,8e-06,5.285864404053845e-05,9.9674032e-05,1.0,1.0,1.0,8,8
Zipf_s1.5,MisraGries,1.5,499998,250000,4782,102,150,0.05466795898973942,0.10933635532490013,8.178377248013383,259.0,1.0,3.271350899205354e-05,0.001036,4e-06,0.00013098550623637077,0.000955751968,1.0,0.9090909090909091,0.9523809523809523,11,10
Zipf_s1.5,LazySS±,1.5,499998,250000,4782,150,150,0.138258166029118,0.2765174381279885,8.163529903805939,261.0,1.0,3.265411961522376e-05,0.001044,4e-06,0.0001311733618437137,2.3366224e-05,1.0,1.0,1.0,11,11
Zipf_s1.5,SS±,1.5,499998,250000,4782,150,150,0.13798104203306139,0.2759631879188744,8.163529903805939,261.0,1.0,3.265411961522376e-05,0.001044,4e-06,0.0001311733618437137,2.3366224e-05,1.0,1.0,1.0,11,11
Zipf_s1.5,DoubleSS±,1.5,499998,250000,4782,150,150,0.17869475000770763,0.35739092957913354,14.4086156419908,1115.0,1.0,5.76344625679632e-05,0.00446,4e-06,0.00038135178787386905,0.00011048384,1.0,1.0,1.0,11,11
Zipf_s1.5,IntegratedSS±,1.5,499998,250000,4782,150,150,0.20125383301638067,0.4025092760698656,8.163529903805939,261.0,1.0,3.265411961522376e-05,0.001044,4e-06,0.0001311733618437137,2.3366224e-05,1.0,1.0,1.0,11,11
Zipf_s1.5,CountMin,1.5,499998,250000,4782,1360,1360,0.6289481249987148,1.2579012816025559,38.0219573400251,351.0,35.0,0.0001520878293601004,0.001404,0.00014,0.00017639671459558734,0.000152468176,1.0,1.0,1.0,11,11
Zipf_s1.5,α-CountMin,1.5,499998,250000,4782,1632,1632,0.5108425419894047,1.0216891707354923,21.417607695524886,435.0,17.0,8.567043078209955e-05,0.00174,6.8e-05,0.00011499402272030013,9.836416e-05,1.0,1.0,1.0,11,11
Zipf_s1.5,CountSketch,1.5,499998,250000,4782,150000,150000,1.026898790965788,2.0538057971547645,0.012547051442910916,2.0,0.0,5.018820577164366e-08,8e-06,0.0,4.699235101537612e-07,1.36e-08,1.0,1.0,1.0,11,11
Zipf_s1.5,α-CountSketch,1.5,499998,250000,4782,120000,120000,0.8325064170057885,1.6650194940895533,0.0698452530322041,10.0,0.0,2.7938101212881637e-07,4e-05,0.0,1.3590165460348475e-06,1.0216e-07,1.0,1.0,1.0,11,11
Zipf_s1.5,LearnedISS±,1.5,499998,250000,4782,150,150,0.2723330829758197,0.5446683446250179,3.55918025930573,126.0,1.0,1.423672103722292e-05,0.000504,4e-06,3.5644041573694126e-05,6.886384e-06,1.0,1.0,1.0,11,11
Zipf_s2.0,MisraGries,1.5,499998,250000,688,144,150,0.050879792019259185,0.10175999107848269,5.486918604651163,25.0,2.0,2.1947674418604654e-05,0.0001,8e-06,3.8282608839195955e-05,9.9475472e-05,1.0,1.0,1.0,7,7
Zipf_s2.0,LazySS±,1.5,499998,250000,688,150,150,0.05854762496892363,0.11709571832072055,3.6686046511627906,26.0,1.0,1.4674418604651163e-05,0.000104,4e-06,2.7303632946789757e-05,2.50928e-07,1.0,1.0,1.0,7,7
Zipf_s2.0,SS±,1.5,499998,250000,688,150,150,0.058427374984603375,0.11685521739007632,3.6686046511627906,26.0,1.0,1.4674418604651163e-05,0.000104,4e-06,2.7303632946789757e-05,2.50928e-07,1.0,1.0,1.0,7,7
Zipf_s2.0,DoubleSS±,1.5,499998,250000,688,150,150,0.07540229195728898,0.1508051871353265,9.911337209302326,157.0,1.0,3.9645348837209306e-05,0.000628,4e-06,0.0001171644640149349,2.38376e-06,1.0,1.0,1.0,7,7
Zipf_s2.0,IntegratedSS±,1.5,499998,250000,688,150,150,0.07113912503700703,0.14227881918929083,3.6686046511627906,26.0,1.0,1.4674418604651163e-05,0.000104,4e-06,2.7303632946789757e-05,2.50928e-07,1.0,1.0,1.0,7,7
Zipf_s2.0,CountMin,1.5,499998,250000,688,1360,1360,0.6044043329893611,1.2088135012327272,1.5799418604651163,14.0,1.0,6.319767441860465e-06,5.6e-05,4e-06,9.607409930954095e-06,4.041008e-06,1.0,1.0,1.0,7,7
