algorithm,N,alpha,F1,stream_len,space,max_space,update_time_s,time_per_update_us,mean_absolute_error,max_absolute_error,median_absolute_error,mean_relative_error,max_relative_error,median_relative_error,nrmse,weighted_mean_rel_error,hh_precision,hh_recall,hh_f1,num_true_hh,num_est_hh
MisraGries,100000,1.5,50000,99998,39,150,0.015988332976121455,0.15988652749176438,3.1178526048284625,263.0,1.0,6.235705209656926e-05,0.00526,2e-05,0.0002697819016538629,0.0020363512,1.0,0.625,0.7692307692307693,8,5
LazySS±,100000,1.5,50000,99998,150,150,0.15053370798705146,1.5053671872142589,4.930749682337992,266.0,1.0,9.861499364675984e-05,0.00532,2e-05,0.0005160494667147417,0.0004803648,1.0,1.0,1.0,8,8
SS±,100000,1.5,50000,99998,150,150,0.1385627500130795,1.3856552132350597,4.893106734434562,262.0,1.0,9.786213468869124e-05,0.00524,2e-05,0.0005087459355491091,0.0004606628,1.0,1.0,1.0,8,8
DoubleSS±,100000,1.5,50000,99998,150,150,0.15604324999731034,1.5604637092472884,7.0109593392630245,852.0,1.0,0.00014021918678526048,0.01704,2e-05,0.00119812859689129,0.0010095128,0.10666666666666667,1.0,0.1927710843373494,8,75
IntegratedSS±,100000,1.5,50000,99998,150,150,0.22736824996536598,2.273727974213144,4.893106734434562,262.0,1.0,9.786213468869124e-05,0.00524,2e-05,0.0005087459355491091,0.0004606628,1.0,1.0,1.0,8,8
CountMin,100000,1.5,50000,99998,1360,1360,0.12502358300844207,1.2502608353011269,78.71934561626429,190.0,79.0,0.001574386912325286,0.0038,0.00158,0.0016134855960751736,0.0015669344,0.8,1.0,0.888888888888889,8,10
α-CountMin,100000,1.5,50000,99998,1632,1632,0.10298479103948921,1.0298685077650473,48.023348157560356,168.0,45.0,0.0009604669631512072,0.00336,0.0009,0.0010021911508901337,0.001007476,0.8888888888888888,1.0,0.9411764705882353,8,9
CountSketch,100000,1.5,50000,99998,150000,150000,0.20620304200565442,2.062071661489774,0.07171219822109276,5.0,0.0,1.4342439644218552e-06,0.0001,0.0,6.166371892172854e-06,3.5092e-06,1.0,1.0,1.0,8,8
α-CountSketch,100000,1.5,50000,99998,120000,120000,0.16763466701377183,1.676380197741673,0.23681702668360863,15.0,0.0,4.736340533672173e-06,0.0003,0.0,1.2389280934899441e-05,6.662e-06,1.0,1.0,1.0,8,8
LearnedISS±,100000,1.5,50000,99998,150,150,0.2087970839929767,2.0880126001817705,2.619043837357052,113.0,1.0,5.2380876747141044e-05,0.00226,2e-05,0.0001360724963737249,0.0001644576,1.0,1.0,1.0,8,8
MisraGries,100000,2.0,33333,99999,69,200,0.012385542038828135,0.12385665895487089,2.6122894572676234,125.0,1.0,7.836946741270282e-05,0.003750037500375004,3.000030000300003e-05,0.0002604510756399552,0.0015709787194172905,1.0,0.75,0.8571428571428571,8,6
LazySS±,100000,2.0,33333,99999,200,200,0.1168943329830654,1.1689550193808478,4.09731752963194,125.0,1.0,0.0001229207550965092,0.003750037500375004,3.000030000300003e-05,0.0004858317415270188,0.0003655945118536776,1.0,1.0,1.0,8,8
SS±,100000,2.0,33333,99999,200,200,0.11598316702293232,1.1598432686620097,4.09731752963194,125.0,1.0,0.0001229207550965092,0.003750037500375004,3.000030000300003e-05,0.0004858317415270188,0.0003655945118536776,1.0,1.0,1.0,8,8
DoubleSS±,100000,2.0,33333,99999,200,200,0.193474417028483,1.9347635179200093,6.947702224994801,550.0,1.0,0.0002084331510813549,0.016500165001650018,3.000030000300003e-05,0.0014984008591479754,0.001248205263980459,0.08791208791208792,1.0,0.16161616161616163,8,91
IntegratedSS±,100000,2.0,33333,99999,200,200,0.18568325001979247,1.8568510687086117,4.09731752963194,125.0,1.0,0.0001229207550965092,0.003750037500375004,3.000030000300003e-05,0.0004858317415270188,0.0003655945118536776,1.0,1.0,1.0,8,8
CountMin,100000,2.0,33333,99999,1360,1360,0.12458145804703236,1.2458270387407109,52.033686837180284,116.0,52.0,0.0015610262153775627,0.0034800348003480035,0.0015600156001560016,0.0016014412023505494,0.0015598868975819629,0.7272727272727273,1.0,0.8421052631578948,8,11
α-CountMin,100000,2.0,33333,99999,2176,2176,0.10678412503330037,1.0678519288522923,23.204928259513412,96.0,23.0,0.0006961548093334958,0.0028800288002880027,0.0006900069000690007,0.0007223310750039437,0.0006625167502687537,0.8888888888888888,1.0,0.9411764705882353,8,9
CountSketch,100000,2.0,33333,99999,150000,150000,0.206843874999322,2.0684594345875658,0.035766271574131835,4.0,0.0,1.072998877212727e-06,0.00012000120001200012,0.0,6.269138384312437e-06,1.981839636594548e-06,1.0,1.0,1.0,8,8
α-CountSketch,100000,2.0,33333,99999,120000,120000,0.1684178340365179,1.684195182317002,0.15398211686421293,10.0,0.0,4.6195097010233975e-06,0.0003000030000300003,0.0,1.364956595320579e-05,5.472109441641622e-06,1.0,1.0,1.0,8,8
LearnedISS±,100000,2.0,33333,99999,200,200,0.17846750002354383,1.78469284716391,2.2689748388438344,52.0,1.0,6.806992586457366e-05,0.0015600156001560016,3.000030000300003e-05,0.00014796741377519362,0.00013878367565963484,1.0,1.0,1.0,8,8
MisraGries,100000,4.0,14286,99998,196,400,0.012479582976084203,0.12479832572735658,1.8680124223602483,24.0,1.0,0.00013075825440012938,0.0016799664006719867,6.999860002799944e-05,0.0002457779950145227,0.0008446086153175438,1.0,0.7777777777777778,0.8750000000000001,9,7
LazySS±,100000,4.0,14286,99998,400,400,0.08888812502846122,0.8888990282651775,2.7736801242236027,24.0,1.0,0.00019415372562113975,0.0016799664006719867,6.999860002799944e-05,0.0004091219924434027,0.00020756549729708193,1.0,1.0,1.0,9,9
SS±,100000,4.0,14286,99998,400,400,0.08881720795761794,0.8881898433730469,2.7736801242236027,24.0,1.0,0.00019415372562113975,0.0016799664006719867,6.999860002799944e-05,0.0004091219924434027,0.00020756549729708193,1.0,1.0,1.0,9,9
DoubleSS±,100000,4.0,14286,99998,400,400,0.3200557079981081,3.2006210924029292,8.315799689440993,216.0,1.0,0.0005820943363741422,0.015119697606047878,6.999860002799944e-05,0.0026297023385343592,0.0010596610131356102,0.052941176470588235,1.0,0.10055865921787709,9,170
IntegratedSS±,100000,4.0,14286,99998,400,400,0.13944783300394192,1.3945062201638225,2.7736801242236027,24.0,1.0,0.00019415372562113975,0.0016799664006719867,6.999860002799944e-05,0.0004091219924434027,0.00020756549729708193,1.0,1.0,1.0,9,9
CountMin,100000,4.0,14286,99998,1360,1360,0.12379350000992417,1.2379597592944276,21.51669254658385,54.0,21.0,0.0015061383554937598,0.0037799244015119695,0.0014699706005879883,0.0015560435811465257,0.001452037317926468,0.9,1.0,0.9473684210526316,9,10
α-CountMin,100000,4.0,14286,99998,3264,3264,0.08162466704379767,0.8162629956978907,4.037849378881988,32.0,4.0,0.00028264380364566625,0.002239955200895982,0.0002799944001119978,0.000321421051735843,0.0002621591135305951,1.0,1.0,1.0,9,9
CountSketch,100000,4.0,14286,99998,150000,150000,0.20844066701829433,2.0844483591501266,0.007569875776397516,1.0,0.0,5.298807067336915e-07,6.999860002799944e-05,0.0,6.0902305090370214e-06,7.447702088937362e-07,1.0,1.0,1.0,9,9
α-CountSketch,100000,4.0,14286,99998,90000,90000,0.13025083299726248,1.302534380660238,0.09763198757763975,5.0,0.0,6.834102448385815e-06,0.0003499930001399972,0.0,2.5110663673118847e-05,9.486020555383376e-06,1.0,1.0,1.0,9,9
LearnedISS±,100000,4.0,14286,99998,400,400,0.2004150829743594,2.004190913561865,1.8685947204968945,23.0,1.0,0.00013079901445449353,0.0016099678006439872,6.999860002799944e-05,0.00020388574494088922,0.00012699802002839967,1.0,1.0,1.0,9,9
MisraGries,100000,8.0,6667,99999,794,800,0.012334665982052684,0.12334789329945983,1.1202797202797203,4.0,1.0,0.00016803355636413984,0.000599970001499925,0.00014999250037498125,0.00021111778144434882,0.0003801894801015162,1.0,1.0,1.0,9,9
LazySS±,100000,8.0,6667,99999,800,800,0.06627404101891443,0.6627470376595209,1.6615384615384616,4.0,1.0,0.0002492183083153535,0.000599970001499925,0.00014999250037498125,0.0003055450815412563,0.0001490925903682317,1.0,1.0,1.0,9,9
SS±,100000,8.0,6667,99999,800,800,0.06641204201150686,0.6641270613856824,1.6615384615384616,4.0,1.0,0.0002492183083153535,0.000599970001499925,0.00014999250037498125,0.0003055450815412563,0.0001490925903682317,1.0,1.0,1.0,9,9
DoubleSS±,100000,8.0,6667,99999,800,800,0.5415084579726681,5.415138731113992,10.756643356643357,91.0,1.0,0.001613415832704868,0.013649317534123294,0.00014999250037498125,0.004406044706666347,0.0013433856580757284,0.028662420382165606,1.0,0.05572755417956656,9,314
IntegratedSS±,100000,8.0,6667,99999,800,800,0.10297712497413158,1.0297815475567913,1.6615384615384616,4.0,1.0,0.0002492183083153535,0.000599970001499925,0.00014999250037498125,0.0003055450815412563,0.0001490925903682317,1.0,1.0,1.0,9,9
CountMin,100000,8.0,6667,99999,1360,1360,0.12417708395514637,1.2417832573840375,9.414335664335665,25.0,9.0,0.0014120797456630666,0.003749812509374531,0.0013499325033748313,0.0014791572613856324,0.0013453654600905772,0.9,1.0,0.9473684210526316,9,10
α-CountMin,100000,8.0,6667,99999,4350,4350,0.05697608401533216,0.5697665378186998,0.7905594405594406,25.0,1.0,0.00011857798718455684,0.003749812509374531,0.00014999250037498125,0.0002093404278961985,0.00011660583912457294,1.0,1.0,1.0,9,9
CountSketch,100000,8.0,6667,99999,150000,150000,0.20901737501844764,2.090194652130998,0.001048951048951049,1.0,0.0,1.573347906031272e-07,0.00014999250037498125,0.0,4.857884173026066e-06,6.749325050621626e-08,1.0,1.0,1.0,9,9
α-CountSketch,100000,8.0,6667,99999,60000,60000,0.08998449996579438,0.8998539981979258,0.2902097902097902,286.0,0.0,4.352929206686518e-05,0.042897855107244635,0.0,0.0008292718002075063,3.0349464977628575e-05,0.9,1.0,0.9473684210526316,9,10
LearnedISS±,100000,8.0,6667,99999,800,800,0.6100440000300296,6.100501005310349,1.4052447552447553,4.0,1.0,0.0002107761744779894,0.000599970001499925,0.00014999250037498125,0.0002452309458392344,0.00012342265742570078,1.0,1.0,1.0,9,9
MisraGries,500000,1.5,250000,499998,71,150,0.11407800001325086,0.22815691265415233,6.159117232743778,1308.0,2.0,2.4636468930975115e-05,0.005232,8e-06,0.00016796450519056987,0.002010654912,1.0,0.625,0.7692307692307693,8,5
LazySS±,500000,1.5,250000,499998,150,150,0.983126417035237,1.9662606991132703,10.66708405071216,1534.0,2.0,4.266833620284864e-05,0.006136,8e-06,0.00037284999621086285,0.000801053488,0.8888888888888888,1.0,0.9411764705882353,8,9
SS±,500000,1.5,250000,499998,150,150,1.075986624986399,2.1519818579002297,9.623540460165911,1313.0,2.0,3.849416184066364e-05,0.005252,8e-06,0.00031791710597777243,0.000479772304,1.0,1.0,1.0,8,8
DoubleSS±,500000,1.5,250000,499998,150,150,0.8068186669843271,1.6136437885438084,13.317639693222727,4259.0,2.0,5.32705587728909e-05,0.017036,8e-06,0.0007277532683944392,0.001231809632,0.10666666666666667,1.0,0.1927710843373494,8,75
IntegratedSS±,500000,1.5,250000,499998,150,150,1.716674541006796,3.433362815464854,9.623540460165911,1313.0,2.0,3.849416184066364e-05,0.005252,8e-06,0.00031791710597777243,0.000479772304,1.0,1.0,1.0,8,8
CountMin,500000,1.5,250000,499998,1360,1360,0.63885524997022,1.277715610802883,402.55799029582096,1141.0,413.0,0.0016102319611832837,0.004564,0.001652,0.001648499850343222,0.001612641728,0.8,1.0,0.888888888888889,8,10
α-CountMin,500000,1.5,250000,499998,1632,1632,0.5247777079930529,1.0495596142245627,243.91645014869306,951.0,229.0,0.0009756658005947722,0.003804,0.000916,0.0010111353526571106,0.0010105504,0.8888888888888888,1.0,0.9411764705882353,8,9
CountSketch,500000,1.5,250000,499998,150000,150000,1.0504255419946276,2.1008594874272046,0.5749569572703084,83.0,0.0,2.2998278290812335e-06,0.000332,0.0,5.797522692428927e-06,2.653408e-06,1.0,1.0,1.0,8,8
α-CountSketch,500000,1.5,250000,499998,120000,120000,0.8492491660290398,1.6985051260785837,1.1104711222413524,66.0,1.0,4.44188448896541e-06,0.000264,4e-06,9.41857045418954e-06,6.371184e-06,1.0,1.0,1.0,8,8
LearnedISS±,500000,1.5,250000,499998,150,150,1.206966541998554,2.413942739768067,4.335889810611989,461.0,2.0,1.734355924244796e-05,0.001844,8e-06,5.285864404053845e-05,9.9674032e-05,1.0,1.0,1.0,8,8
MisraGries,500000,2.0,166667,499999,70,200,0.129315875004977,0.25863226727448857,4.800797417884944,636.0,1.0,2.880472689785587e-05,0.003815992368015264,5.999988000024e-06,0.00015748894853638426,0.0015646297014749355,1.0,0.75,0.8571428571428571,8,6
LazySS±,500000,2.0,166667,499999,200,200,1.0095561249763705,2.0191162881853173,8.419707613442187,743.0,1.0,5.0518144644363835e-05,0.004457991084017832,5.999988000024e-06,0.00034889020729098687,0.0005836307454746836,0.8888888888888888,1.0,0.9411764705882353,8,9
SS±,500000,2.0,166667,499999,200,200,0.9869458330213092,1.9738956138338464,7.516309094361117,632.0,1.0,4.509776437063796e-05,0.003791992416015168,5.999988000024e-06,0.00029442054837155746,0.0003330656637360128,1.0,1.0,1.0,8,8
DoubleSS±,500000,2.0,166667,499999,200,200,1.0079657079768367,2.0159354478245692,12.5450161382191,2751.0,1.0,7.526994628942201e-05,0.016505966988066025,5.999988000024e-06,0.0008973312616837651,0.0012864695421166857,0.08695652173913043,1.0,0.16,8,92
IntegratedSS±,500000,2.0,166667,499999,200,200,1.5207646249909885,3.0415353330526433,7.516309094361117,632.0,1.0,4.509776437063796e-05,0.003791992416015168,5.999988000024e-06,0.00029442054837155746,0.0003330656637360128,1.0,1.0,1.0,8,8
CountMin,500000,2.0,166667,499999,1360,1360,0.6405399170471355,1.2810823962590636,266.84902221378394,748.0,273.0,0.0016010909311008415,0.004487991024017952,0.001637996724006552,0.0016397329962450334,0.0016140506277910326,0.8,1.0,0.888888888888889,8,10
α-CountMin,500000,2.0,166667,499999,2176,2176,0.541369125014171,1.082740415509173,122.73464970571483,424.0,120.0,0.0007364064254214382,0.002543994912010176,0.00071999856000288,0.0007543028715555487,0.0007319857560540478,1.0,1.0,1.0,8,8
CountSketch,500000,2.0,166667,499999,150000,150000,1.0578853750484996,2.1157749816469624,0.35561040440478453,53.0,0.0,2.133658159112389e-06,0.000317999364001272,0.0,5.9581486417623935e-06,2.754060983745049e-06,1.0,1.0,1.0,8,8
α-CountSketch,500000,2.0,166667,499999,120000,120000,0.8549470420111902,1.7098975038173883,0.7398139358268464,41.0,0.0,4.438874737211604e-06,0.000245999508000984,0.0,9.722611958884914e-06,5.983788064823806e-06,1.0,1.0,1.0,8,8
